Comment,Likes
"여러분 지금 우리 애들 인기 너무 많아져서 특정 커뮤니티에서 좌표 찍고 악플 달러 오시는거 같습니다
우리 애들 실력 플리들이 젤 잘 아는데 아무것도 모르고 욕만 하는 애들 댓글이 뭐가 무섭나요이게 우리 돌고래가 말해준 바이럴 마케팅 이라는거겠죠
조회수 올라가면 행복해지는건 우리입니다반갑게 환영하고 깔끔하게 신고해요
이 좋은날 행복하게 마무리해요",547
하 진심 작년에 입덕부정기 없이 바로 입덕한 게 살면서 젤 잘한일임,535
이세돌 팬인데 플레이브님들은 진짜 잘 됐으면 좋겠어요 최전선에서 온갖 억까 견뎌내면서 버추얼 그룹에 대한 인식을 많이 개선해주시는 분들이라 서로 같이 힘냅시다 화이팅,534
기사보고 뭔가싶어서 봤는데 나쁘지 않네 라던가 배경도 되게 자연스럽다 음원도 깔끔한것같고 버츄얼로 위먹은데는 이유가 있구나,529
"노래 안무 자체제작이라는데 오히려 좋아
노래가 좋아서 전곡 다 챙겨듣고 있고 다음 노래들도 기대됨  오래오래 활동해줬으면 하는 그룹",528
"진짜 플레이브는 낭만이 넘쳐서 좋음
사람들이 히어로물을 좋아하는 이유가 그 서사에서 힘들지만 희망을 보고 위로를 느끼기 때문이라고 생각하는데 나한테는 플레이브가 낭만넘치는 히어로물 같음 어떨때는 힘들고 슬프지만 결국에는 이겨내는 그런 영화",522
플레이브 이제 공급이 수요를 못 따라감  플리 살려,515
반년 전에 플리가 된 대 팬이예요 플레이브를 알게 될 수록  꿈과 그 꿈을 이뤄가는 삶의 자세에 대해 새롭게 생각해보는 계기가 되었어요 많은 분들이 플리가 되어 팀 플레이브로 이 여정에 함께 하시길 바라요,507
"머글인데 버츄얼은 걍 펭수 같은 거라니까 거부감 없음
노래가 좋아서 응원합니다",501
이제 버츄얼이니 뭐니 아이돌이니 뭐니 다양하게 수용받는 세상이 오는거지 이번에 등한게 신기해서 찾아보니 버츄얼과 실제 아이돌과 덕질엔 별로 차이가 없더만 노래도 좋으니 더 잘되길,495
"보면 볼수록 플레이브가 멋지다는 생각이 들음
생소할 수 있는 버츄얼 아이돌이기에 나조차도 처음에는 뭐지 싶었다가 좋은 노래 좋은 컨텐츠로 실력을 입증하는 이런 곡을 자체제작해서 활동을 한다는 점이 너무 좋았음 요새 아이돌들은 그렇지 않으니 플레이브를 덕질하게 되면서 다시 한 번 느낀건데 결국엔 실력있고 팬들에게 진심인 아티스트가 성공하는 것 같음 가사도 한국어 위주라 대중성도 좋고
아무튼 항상 응원합니다",484
"그스그팬 이란 말 딱 맞는말
멤버들 위하고도 이럴수록 더 열심히 하자 하고 보족세트로 자축하고 바로 연습들어갔다던데
우리도 위하자마자 울면서 스밍체크하고 네이버 달려감
서로가 세상이라는 플레이브와 플리들
나도 플리지만 플레이브도 플리도 너무 자랑스럽다",480
여기는 진짜 그스그청처럼 그돌그팬이다 플레이브랑 팬들 전부 마음씨가 예쁜게 느껴짐 아이돌이 노력하고 진심을 보이는거에 팬들이 감동받고 받은 감동을 나누고 다시 주려하는게 영상과 댓글들로 보이는데 진짜 대단한거 같다 이런 노래와 팬들이면 처음봐도 바로 입덕할거 같아 앞으로 더 더 성공했으면 좋겠다,477
"노래 왜 이렇게 잘뽑는지 머글인데 계속 들어와서 뮤비 보고 노래 듣는 중이에요
 노래를 진짜 잘한다아직 부정중이긴한데 입덕할 거 같아요",459
실력보다 점점 자본주의로 찍어누르는 현 가요계에 정말 단비같은 존재인것같다 현재 대와 예전 아이돌세대가 이렇게 열광하는것 보면 사람들은 그저 좋은 음악과 순수한 열정을 바래왔던것 같다,456
"다이빙도 높은데서 하면 더 깊이 빠진다구 진입장벽이 있다는 건 단점이 아니라 오히려 장점인 거 같아요 제가 작년에 플레이브 좋다고 했더니 편견가지고 눈쌀찌푸리던 친구들이 이젠 먼저 조심스럽게 플레이브 노래좋더라 쇼츠봤는데 웃겨서 더 찾아보게 되더라 음악 좋아서 찾아보니까 플레이브라고 해서 놀랐다고 연락해옵니다 댓글 보다가 팬덤에도 놀랐다고 좋다는 말들을 해요 무엇보다 노래가 좋아서 자꾸 반복해서 듣게 된다고 다른 노래도 추천해달라고 해서 지금까지 발매된 전곡 추천
 거를타선 없이 좋다고 스펙트럼 넓다고 말하는데 제가 괜히 뿌듯하고 어깨가 으쓱합니다 입덕부정기 괜한 말 아니고 오히려 좋아
 부정할수록 한번빠지면 깊이 빠지실겁니다
 실력 확실한 아티스트와 기술력 확실한 회사 사랑 확실한 팬들까지 서로에게 힘이 되어주고 자랑이 되어주는 요즘 세상에 믿기지도 않을 이런 꿈같은 관계가 현실 그 자체인 플레이브  블래스트  플리 팀 플레이브 너무너무 좋아요",454
먹금해야하는 애들과 별개로 얘네 뭐지 싶어서 들어왓다가 노래의외로 괜찮아서 응원의 댓글 남겨주시는분들은 너무 감사합니다 이렇게 저희 애들이 대중에게 한발짝 다가가네용 익숙치 않을 낯선 문화를 있는그대로 그렇구나하고 받아들이는것도 멋진자세라고 생각합니다,453
"기사 나온거 읽으면서 울컥했다
직접 곡 안무 자체제작을 하게된 이유가 너무 마음아프더라 하지만 직접 제작했다는게 오히려 더 너희다움을 보여주는 키포인트가 되서 더 멋있다고 생각해 이제는 너희를 응원하는 팬이 이만큼이나 있으니까 기죽지말고 자랑스러워해도 돼",450
노래 왜케좋냐 개놀랬네,441
"처음에 버튜버가 아이돌이라는거에 좀 받아들이지 못했는데 오늘 상영회에서  가만히 노래 다 들어봤는데 노래가 하나같이 너무 좋아서 
가지고 있던 편견도 사라지네요 진짜 노래좋네 자주 들을거같아요",437
"멤버들 스스로도 버추얼이라는 생소한 분야에 두려움을 가지면서도 진정으로 음악이 하고 싶어서 시작한 활동입니다
겉모습만  모델링을 빌렸을 뿐 좋은 음악과 무대를 위해 거의 매일 새벽까지 곡 작업하고 안무 연습하는 아이돌이에요
작사작곡믹싱디렉팅일부 악기연주부터 안무 창작까지 전부 직접하고 있고 매주 유튜브에서 하는 라이브방송을 통해 앨범 준비 과정을 생생히 들으실 수 있습니다
아이돌로서의 본업뿐만 아니라 단 하루도 빼먹지 않고 팬들과 소통하며 감사 표현을 하고 있어요
팬들이 듣고싶다는 노래가 있으면 연습해서 라이브 방송에서 서프라이즈로 불러주기도 하고 고퀄리티의 커버로 녹음해서 올려주기도 한답니다
멤버 명 전부 실력적으로 정말 자신있게 추천할 수 있는 그룹이에요
겉모습의 벽을 넘어 영상 몇개만 보시면 멤버들이 얼마나 인간적이고 음악을 사랑하는 사람들인지 느끼게 되실 거에요
위 소식으로 들려주시는 분들 모두 감사합니다",436
걍 실력임 요즘누가 작곡작사안무까지하는팀이 어딧어 곡받기바쁘지 근데 그것도 표절논란 겁나많고,431
아이돌판에 오래있었던 고인물들이면 객관적으로 실력 판단될거임 작곡 작사 안무까지 다 만드는 자체제작돌에다가 이정도 육각형 아이돌 거의 없습니다 애니같은 거 본 적 한 번도 없어서 처음에 신기한 마음으로 보게 됐는데 본업 너무 잘해서 감동받음 애들이 본업에 너무 진심이라 서포트를 진심으로 열심히 해주고싶게 만듦,401
음중 무대보고 뮤비보고 남플리 절차 밟는중 ,399
"노래를 듣다보면 화자의 안부가 궁금해지는 노래가 있잖아요 짝사랑하던 사람이랑은 잘됐나 잘지내나 싶은 노래요
아무리 노력해도 제자리만 맴돌아서 가닿을 수 있게 기다린다길래 꿈이든 기다리던 사람이든 꼭 만났으면 좋겠다 생각했는데 오늘보니 잘 만나신거 같아 다행이에요 하늘에 떠있는 것만 별인가요 댓글창에 빼곡히 수놓아진 하트들이 플레이브분들의 별일 것 같아요 오래 행복하시길 댓글창에 수놓아진 수많은 마음만큼이라도",384
플레이브 영상에 달리는 예쁜 댓글들 중에서도 가장 공감했던건 가림으로써 오히려 본질이 빛을 발한다는거였음 얘들아 너희 노래 진짜 너무 좋고 안무도 케미도 성격도 다 너무너무 매력적이야 너희의 진심은 항상 내 마음을 울려 내 가수가 본업 천재들이라서 이루말할수 없이 자랑스럽다,382
"남돌노래는 거의도 안듣는사람인 데
노래 넘 좋다메모리즈첫만남에 이은 
귓가에 봄바람 살랑거리는 듯한 청량곡
좋아하는 데 대박",376
"진짜 계속 들어도 안질리고 새롭게 좋네
사계절이 되어줘 마이 비너스는 진짜 레전드파트",370
"노래 무진장 좋네요 
대 후반 아재인데 

들으면서 오랜만에 따뜻하고 두근두근 거립니다",367
"가수의 본질이 무엇인지에 대해 다시 생각해보게 하는 그룹
노래나 춤 실력이 조금 부족해도 외모가 뛰어나면 메인 멤버가 되는 세상에서 비주얼을 버리고 꾸준히 좋은 노래를 불러온 게 대단하네요
이런 형태로라도 청자의 귀를 즐겁게 해준다면 이젠 이 가상의  캐릭터들 뒤에 다비드상이 있든 원숭이가 있든 상관없습니다
세대 아이돌에 향수를 느끼는 사람 입장으로서 멜론도 끊은 지 오래인데 다시 구독하고 이 노래를 듣게 됐어요",360
"두유람 보다가 위 소식듣고 흘러서 와봤네요 오랜 여돌덕이라 남돌한테는 여전히 가슴은 안 뛰지만 이렇게 플레이브처럼 순수하게 열심히 하는 아이돌 보면 응원하게 되네요
사실 기존 아이돌과 다르고 진입장벽도 높고 오그라 들 수 있는데 이런걸 도전한다는 것 만으로도 대단해보여요 
플레이브 팬분들 위 축하드려요  수많은 억까에 너무 맘상해 하지마시고 새로운 길을 가는 사람들의 격는 시기질투라 생각하시고 자부심을 가지세요",359
"오늘은 울동네 빵집 지나가는데 이노래가 들리더라요 너무 감동이었어
그옆이 카페인데 카페에서는 우리영화가 
개인카페인데 플리아니신가 하는 느낌적인느낌 우리애들노래 카페 지나갈때 나옴 하루종일 스밍하시나봐",357
"팬 되기 전에 플레이브 영상마다 악플이 반이라 팬들 위로하는 댓글 달고 그랬었는데 이젠 좋은 반응이 대부분이라 노래의 힘이 이런 거구나 싶어 참 신기해요
온전하게 플레이브 너희의 능력으로 만들어낸거야",356
"공짜바이럴마켓팅 감사합니다 뮤비 조회수 올라서 님들 덕분에 또 위할수 있을거 같아요
 좋은 말씀 해주시는 분들은 복받으시고요

",350
"하 며칠동안 플레이브 영상이랑 쇼츠 계속 돌려보면서 귀엽네 노래 잘 부르네 하면서 입덕부정기 겪다가 오늘 외출한 사이에 플레이브 음악중심 등했다는 소식 듣고 기뻐한 나 자신을 보며 깨달았습니다

입덕했구나

얘들아 음악방송 등 축하해
  내가 난생 처음 남자 아이돌 덕질 하는거라 모르는 단어가 너무 많아서 하나하나 공부중이야",338
이런 쪽이랑 완전 연이 없던 사람인데노래 너무 잘 뽑아서 들으러 왔습니다 역시 가수는 바이럴보다는 노래로 승부해야 되는구나 싶네요,335
"크리스마스 노래할 때 만나고 어쩌다가 우연히 커버곡 들었는데 또 만났네요 길가다가 들리는 노래가 너무 좋아서 찾았는데 이 친구들을 또 볼 줄은 
겨울에도 봄에도 만나서 영광입니다 노래 가사에 사계절이 되어달라는 이야기가 나왔던 거 같은데 저한테도 사계절 내내 만나고 싶어지는 아티스트가 생긴 건 처음이라 설레네요

삼세번이면 인연이 아니라 필연인거겠죠 앨범도 사러 가야겠네요
정말 취향인 좋은 노래를 만나서 너무 기쁩니다

 노래를 들으면서 눈물이 난 게 오랫만이어서 스스로도 왜 그럴까 생각해보니까 뮤비를 보니 답이 있네요
아티스트도 회사도 정말 진심을 담아 간절하게 사랑에 대해 말하고 있는 작업물이어서 였던 거 같아요
앞으로도 사랑을 받고 또 사랑을 찾아나가는 길이 험난할 수도 있겠지만 응원할게요",330
"버츄얼에 대해 좋은 시각을 갖고있었다고 말할 순 없지만 노래도 좋고 뭔가 요즘 타 남돌들 노래는 예전같은 바이브가 없어서 좀 아쉬웠는데 이거는 가슴에 와닿고 또 그런 보컬이 있는거 같아요
화이팅입니다",327
플레이브 보면 뭔가벅차올라요 버츄얼이라서의 장점도 빛을 발하는거 같아요 섬세한 부분까지 다 보게되고 특히 맴버들의 표정이 너무 행복해보이는게 느껴져서 더 좋아요  지금까지 있었던 배경들도 지나가는데 눈물 찔끔 남,325
아니 음중 위 하니깐 어그로들 우르르  몰려오는거 너무 속보이는거 아냐,324
세대부터 쭉 돌판에 있던 휀걸이 엠을 나와서 버추얼아이돌에 이렇게 빠지게 될 줄은 전혀 몰랐음 반복되는 비슷한 무언가에 지쳐가던 때에 만난 플레이브의 노래는 이전 세대 갬성덕질하는 사람들에게 매력적으로 다가오지 않았을까 나처럼 세대의 곡 분위기가 오묘하게 다 느껴지는 게 입덕 포인트인 거 같음 비피엠이 빠르다 해서 멜로디만 훑고 지나쳐가는 게 아닌 가사 하나하나가 귀에 박히는 것도 리스너로서 너무 즐거움 이지리스닝이어도 멜로디 라인이 마냥 단조롭지만도 않아 무엇보다 멤버들 보컬이 곡들의 분위기를 너무 잘 이끌어줘서 그런지 계속 들어도 질리는 구간이 없는 게 너무 신기해어떻게 이 다섯이 모이게 된 건지 여기서 운명론 풀면 좀 그래 그래도 난 이것 또한 다 운명이었다 믿을래 플레이브는 정말 앞으로가 더욱 기대되고 또 기다려지는 거 같아 이렇게 계속 하이인 상태로 덕질을 한 게 얼마만인지 너무 신나고 즐겁고 하루하루가 설레고 그래서 팬으로서 내가 할 수 있는 건 최대한 노력하고 있어 이런 기분을 느끼게 해준 너희에게 보답하고 파서 매일 고맙고 정말 사랑한다 얘들아 평플하자 ,321
다른거보다 작곡이  지림 밴드사운드를 너무 잘쓰는듯 이번에 룩삼님 음감회 보면서 다시한번 느낌,307
"플레이브는 진짜 다른게 그동안의 나 버츄얼들을 보면 아 이쪽 업계는 팬을 보는 관점이 평범하지 않구나 이런 마이너한 부분을 공략하는 거구나 싶었는데
얘네는 보면 볼수록 이렇게 대중성을 끌고가면 어떤 장점들이 있구나 하는것만 눈에 들어옴 ",302
세대만 파던 사람인데 얘네는 묘하게 세대 느낌이 안나고 그때 느낌남 그래서 난 오히려 호감임 영어 많은 가사보단 한국어 많은 가사가 좋고 버추얼 이라고 욕 많이 먹던데 힘냈으면 좋겠음,297
"확실히 버츄얼 그룹이라 그런지 뮤비가 타 아이돌에 비해 선택지가 많다는 게 좋아보이는 거 같네요 
뮤비 색감 엄청 좋고 거기에 다양한 풍경들이 나와서 눈이 호강해서 좋은 듯 약간 만화 보는 느낌",296
"타팬인데 노래좋아서 항상챙겨들어요
이번뮤비 퀄리티 진짜 좋네요",290
캐럿이었는데 밤비핑뚝이가 오류 고치는 영상을 시작으로 점점 플레이브가 좋아지고 있어요,278
여러분들 특정 커뮤에서 엄청 핫한 게시글로 우리애들이 올라가잇어요 몰려오는것오 이상하지않습니다 먹금하시고 각자 할일합시당 숙제아시죵,275
플레이브가 레전드인 점 음악임 버추얼이기 때문에 편견과 오해를 겪지만 자신들의 음악으로 증명하고 버추얼을 오히려 자신들의 특색이자 매력으로 만들어냄 데뷔 년도 안됐고 대중들에게 낯선 버추얼 아이돌이 새 기록을 쓰고 이처럼 좋은 성적을 내는 건 정말 미친거임 플레이브  플리  뚝스조합 너무 사랑스럽고 내가  플리라는게 자랑스러움 팬들에게 자부심 갖게하는 만년돌 그 자체 앞으로의 여정과 이야기에도 함께하고 싶다,275
"저희 어머니가 요즘 플레이브에 푹 빠져계세요다들 목소리 왜이렇게 좋냐고 이번곡도 정말 너무너무 좋아요 앞으로의 플레이브의 활약을 응원합니다
",274
"저는 플레이브 노래가 그냥 들리는대로 들으면 되는 직관적인 가사의 노래라서 좋아요 요즘 다들 미리부터 빌보드니 뭐니 별로 깊이 알고 싶지도 않은 세계관이 어쩌구 하면서 인데 영어만 잔뜩 있는 가사라던가 분명 한국노래가 맞기는 한데 너무 자기들끼리 짜놓은 심오한 세계관의 상징성만 비유한다고 듣다보면 뭔 소린지 모르겠고 일반 대중들은 듣기에 왕따 당하듯 피곤해지는 가사들이 남돌 노래에 너무 팽배해서 몇 몇 팀의 노래 빼곤 잘 안 듣는 편이거든요

근데 플레이브 노래는 멜로디도 가사도 뮤비도 그냥 보이고 들리는 곧이 곧대로 이해하면 되는 밝고 청량감있는 희망 찬 노래라서 좋아요 

특별히 저게 뭘 뜻하는 거지 라는 의문을 가질 필요가 없어요 사실 진짜 좋은 노래는 누구나 보고 듣기에 큰 어려움이 없는 편안함을 주는 곡이 아닐까 싶어요 노래를 듣는 이유는 사실 그런거잖아요 이 노래를 들음으로 인해서 귀가 즐겁고 마음이 편안해지니까 듣잖아요

가사는 물론이고 뮤직비디오를 통해서 보여주고자 하는 세계관의 스토리 라인도 그냥 보고 있으면 아 저기 날라다니는 블록이 하트모양 됐으니 사랑인가보다 노래제목이    니까 쓩 날아가버린 집나간 사랑을 찾아가는 모험이야기구나 하고 정말 보이는대로 보면 돼요

보기 불편한 자극적 장면도 하나도 없는 뭐랄까 옛날에 즐겨보던 꿈과 희망과 모험이 가득한 소년만화의 오프닝송 같으면서도 동시에 완벽한 해피엔딩의 엔딩곡을 보는 것도 같아요

노래를 부르는 가수의 겉모습이 실물이든 버추얼이든 요즘같이 변화무쌍한 세상에 뭐가 그리 중요하겠어요  눈에 보이는 것이 모두 컴퓨터 그래픽일지언정 대중들에게 전하려는 메시지가 담긴 노래에는 가수분들의 따뜻한 감성이 가득한 걸요 그거면 됐죠 뭐",273
